title,content,comment
뉴비 성장이 멈췄습니다..,약간의 현금술로1445 도달했는데비아 노말과 발탄하드 공부하면서(이번주는 쩔받았어요)부캐 키우면 되나요?무기강화 두번쯤 눌러봤는데위명돌도 부족하고 골드도 없는데 강화확률은 엄청 낮아서 아이템레벨올리기가 확 어려워졌어요1370 짜리 두개와 1325짜리 두개 그리고 빈슬롯에 스토리 익스프레스용 하나 만들었는데얘네 올리면 되는건가요? 배럭으로쓴다면 레벨 몇까지 올리는게 좋을까요,"본1부3정도있으면수월하십니다, 배럭들키우는건영지에서3티어제련확률올려주는연구를하고키우시는게좋습니다~골드나재료세이브많이됩니다~그리고1445시면내실(Alt+L)누르면나오는것들차근차근모으시면할거많습니다~, 본캐좀더해보시고해야할거같은데"
뉴비 응애스커 세팅 어떤가요?,싸게 맞출 수 있어서 이렇게 맞췄는데세팅이나  특성 어떤가요?고대가 1540이라는데 고대까지 무리없이 쓸 수 있나요,"지금은매우좋음유물갈아타고아브유물로1490부터재료모아서갈아타면강화다시시작이니참고!, 무기랑방어구몇강으로1490가나요보통??, 무21에나머지맞춰서, 감사합니다"
뉴비입니다. 도와주세요..,"와이프 보고서쓰는거 도와줬더니 10만원 결제해준다네요근데 유효기간이 오늘 새벽 1시까지랍니다. 1분만 넘어가도 안해준답니다.저 퇴근하면 12시인데 밥도 안먹고 바로 결제해야 합니다.근데 쌩초보라 뭘 사야할지 모르겠습니다 ㅠㅠ도와주십시요!저 점핑+하익으로 홀나 키우고 있고 장비는 점핑으로 받은 장비 15강까지 올려놓고에포나. 카오스던전, 가디언토벌 돌고 있는 상황입니다.죠니월드님 영상보면서 조금씩 하고는 있는데 지금 상황에서 뭘 사야할까요?퇴근하면 바로 결제해야해서 미리 물어봅니다. 도와주세요 형님들! ","각인안맞추셨으면유물악세구매하셔서돌깎고33333각인먼저맞추시는게좋을꺼같네요, 아직14515아닌듯보임쓴이는샵에있는패키지를뭘사야하는지를물어보는듯, 동의합니다.초보자패키지랑베아트리스축복그리고크리스탈로펫효과추가여는것,정도가초반에살만하고각인안하셨으면골드구매하셔서악세맞추시는게좋다고봅니다., 15강올려놓았다고해서1415찍었다고생각했는데점핑장비면1415가아니실수도있겠네요.1415찍으셨으면유물악세로각인맞추심되고,아직1415아니시라면윗분말처럼초보자패키지정도구매하시면될듯합니다~, 전지금1370입니다.^^:초보자패키지랑..베아트리스축복..펫효과...골드구매..메모했습니다!감사합니다!근데골드구매하려면오렌지색(?)크리스탈을사서바꾸는거죠?^^;;, 넵블루크리스탈로는골드를못삽니다골드를사실거면로열크리스탈로사셔야합니다, 감사합니다!, 도와드릴게요디코아이디주세요친추드릴게요, 저는극한의이득효율충이라믿으셔도됩니다, 신경써주셔서너무감사드립니다!근데제가아직사무실에서근무중이라마음은감사히받겠습니다^^;, 자게에도올려보세용, 일단충전해두시고필요한걸사시는게"
뉴비인데 질문점..,점핑권 써서 1302찍고 받은차원셋 6강까지했었는데여카던 달1 돌다가 에픽템이 나와서구글링해보니 에픽템에 계승 하라고해서요..체방이 더 높다고 해야된다길래 일단 했거든여그래서 지금 에픽템 6강 둘둘인데이거 괜찮은건가여?에픽템 잘 안나오는건줄알고 품질 낮아도 그냥 박아버렸는데팁게가서 읽어보니 걍 파템쓰라고 돼있어서여이걸로 15강찍고 레이드까지 가야되는거같은데망한건가여?보라템은 강화재료 더 들거나 그런가여?,"ㄴㄴ그냥올15강찍고아르고스버스받거나돌아서재료로선택예정장비만들거나거래소에서사거나해서계승시키면됩니다, 파템보템강화할때재료차이없다는말씀이시져?15강갈때재료가더깨질까봐서영, 넵동일합니다, 에픽?등급의템이있는지모르겠는데일단카던달1에서얻으셨다고하니영웅등급의비틀린차원장비를말하는거같네요일단희귀등급과영웅등급은강화비용과재료가동일해요올15강까지가면1370찍을수있고이후경매장에서아르고스전설등급템을사서계승을하시던가아니면아르고스를천천히돌면서전설템을맞춰서계승하고1415까지재련하시면되요., 아보라템을딴껨에선보통에픽이라해서그랬는데영웅등급이었군여강화비용재료동일하면문제없는거군여!감사합니다말해주신대로올라갈게용, 차이없어요그냥1370가시면됩니다"
뉴비 창술이랑 소서 중에,세팅비용이 좀 더 저렴한게 어떤 걸까요?,"치신환류로가면환류가쌉니다특치점화랑절정창술비교하면비슷비슷한데절정이약간더비쌀거에요메이저위주각인, 점화소서는풍요룬이정말정말정말중요하기때문에환류소서가실거면추천점화라면내실이중요"
뉴비 1415 이후 비용,오늘 아르고스 가면 1415가 되는 1405입니당수결은 6덩이 정도 있고 파결은 귀속까지 합해서 1.4덩이 정도 있을겁니다. 중레하도 550이상 있을거고 위명돌도 350개 정도 있습니다1) 대충 평균적으로 어디까지 올릴 수 있을까요??장기백 1번 정도 있다고 가정해주세요 ㅜㅜ영지 연구 해놓은 상태입니다2) 최대치까지 올릴 때 골드는 얼마정도 들까요,"무기올린다는가정하에무기장기보면위명돌없어질껄요?, https://loa.icepeng.com/여기재련최적화가셔서보셔요, 모바일로도볼수있을까요?제가지금밖이라ㅜ, 재련은모바일로도확인가능합니다, 1430이상은가능해보이네요위명돌이좀부족해보이지만좀사서하면되죠운좋으면1445까지도갈수있을것같네요골드는1~3만골드정도?예측하기어렵네요명파사면더추가됩니다"
안녕하세요 과금예정 뉴비입니다.,"먼저 로아 유저분들께 인사 올립니다 (_ _)저는 리난민으로 엄청난 과금 유도에 질려서 떠나오게 되었습니다.다름이 아니고, 캐릭터 선택에 고민이 많습니다.아무래도 어느정도 과금을 할 예정이라 이것 저것 알아보게 되는데요.우선 소량만 과금하여, 소서리스 점화 1445정도 찍어둔 상태입니다.근데 점화 소서는 제 취향이랑 너무 안 맞는듯 하여, 추가 과금하기 전에 점핑권 구매하여 캐릭을 바꿀까 합니다.1. 점화소서 현상 유지2. 리퍼3. 배마or인파 격투가계열정도 생각중입니다.위 세가지중 추천할만한 직업이 있으면 지나가시는 김에 추천 부탁 드립니다.과금은 최소 천만원에서 많게는 2천정도 생각중입니다.아 추가로 고대무기 25강, 에스더 무기 저강중에 어떤게 괜찮을까요~?아, 전사는 생긴게 좀 울그락,,해서 거를 생각입니다.","에스더무기저강은아얘사용불가나중에가고싶은면가셈최소6강돈도여유있으신데여러캐릭다굴려보시고고르세요돈도되고좋은직업추천으로소서고르신거같은데안맞으면해보는수밖에없을듯딱히취향이나이런것도안적어두셔서, 블레이드도해보세요~~, 로아잘오셨어요, 고대25강이에스더5강보다썔거에요.1.소서다들사기사기하지만투자대비눈에띄는대미지는넘사다.하지만너프예정이다.2.리퍼인벤글에선파티많이짤린다머라고하지만자기가셋팅높고님은현질할생각이있으니10렙멸화면절대안걸러진다.캐릭편차는어느정도있지만패턴빡숙모든기믹빡숙이라는가정하에리퍼보다좋은캐릭은없다.다만돈이많이들뿐3.인파,배마둘다또이또이인대저는그정도투자하고재미본다면저라면차라리스트라이커합니다10멸2개만넣어도데미지뿐만아니라재미많이봅니다.고점높을수록쌥니다배마인파너무많아서애매한각인보석이면짤림., 감사합니다참고할게요, 제가알기론고대무기25를해야에스더강화가풀린다던데몇강인지는기억이안나네요그정도과금하실거라면소서쭉하셔도괜찮을거에요현재최강극딜캐라너프가예상된다고는하지만점화특성상극딜딜뽕을없애진않을것같아요그정도투자에서고점은여전히쎌거라예상해봅니다리퍼는투자하기가좀아까운캐릭이고손이매우중요합니다.격투가계열로그정도투자하실거라면스커도좋다고봅니다진입장벽이높긴하지만고점기준개씹존나쎈딜을볼수있어요그정도투자계획이시면에스더무기8강가세요.어차피에스더8강이후로쭉풀릴거라엔드무기는어차피에스더무기입니다.이상입니다."
완전뉴비 질문있습니다,"로아 1도 모르고 시작한지 일주일됐구요 스익, 하익 적용해서 지금 템렙 1370입니다질문1. 각인각인서 받은걸로 원한이랑 피스메이커를 고급, 희귀 20개씩 읽은 상태인데요하익 1415때 영웅 20개씩 주는거 읽으면 되는거 맞나요?그럼 그전에는 그냥 원한1 피스메이커1 이렇게 다녀도 상관없나요?원한3 직각1은 맞춰야된다는 글을 봤는데 언제? 어떻게 맞추면 되는지 궁금합니다.질문2. 가디언 토벌전챗에 물어보니 어떤 착한분이 알려주셔서 일반 가디언 토벌은 일일, 도전 가디언 토벌은 주간이라는건이제 알겠는데 지금 상태에서 저 컨텐츠를 다닐수 있는건가요? 팁게나 유튜브를 봐도 이해가 되는 부분은 괜찮은데,이해가 안되는 부분은 외계어로 설명듣는 기분이라 답답해서 여쭤봅니다...","1.님말이맞긴한대.원한3이아니면오레하도버스타고다녀야합니다.그래서원한까진영웅까지뚤어서원한3만드셔야오레하는버스안타고컨텐츠즐기겠죠?2.원한3이면다가능., 일단어떻게든원한3을맞추는방법으로가야겠네요.감사합니다!!!, 1370에골드벌만한게오레하랑아르고스뿐인데요두개다좀편하게다닐려면원한3직각3정도는해두시는게좋습니다.물론그거아니면안된다는아니구요.최소원한3직각1이어도되긴해요.가디언토벌은1370레벨에맞는건사람도별로없고난이도도꽤높아요.도전가디언토벌역시지금바로하기엔좀어려울수있습니다.차라리도전어비스던전을추천합니다.운이좋아서전설카드선택팩이뜨면골드쏠쏠하게벌수있어요.보정이적용되는던전이라난이도도그렇게어렵지않구요.인벤의던전/공략에서중요기믹만외워가면충분히할수있어요, 답변감사합니다각인은1415부터맞추는게좋다고해서소과금으로1415까지강화했고이제각인맞춰볼려고공부중입니다.이제부턴차근차근공부부터해야겠네요."
뉴비 질문점,1. 무기 20->21재련 도전할때 야금술 심화 사용가능한가요 ?2. 만약 사용 불가면 나중에 상위무기로 계승하면 재련단계 내려가던데 그때는 사용가능한가여 ?,"둘다불가능, ㄴㄴ"
뉴비 1415 전악으로 오레하 노말 버스 태울 수 있나요?,보니까 버스기사 대부분 적어도 3333은 맞추고 하시던데 어떤분은 1380에도 버스 태운다고 하셔서...유산스카 7렙 보석에 무기는 17강까지 했어요,"가능하실것같은데손님은잘안올것같긴해요저도예전에데모닉3331370으로오레하달구지하긴했었어요, 돈받고하기엔좀그런거같아서...유물악세맞출때까지카드작한다는느낌으로무료버스만할려구요..., 패턴만알면13703333으로도가능은해요그래도알비온뇌속트는해야될거같네요"
뉴비 니아호감작   ..,실수로 우호에서 올려서 더이상 성향안올리면 진행안되는데 성향맞추는데 얼마나 걸릴까요..ㅠㅠ,"하루아침에되는건아니죠천천히해보세요, 에포나평판보상중에성향물약안깬거찾아보세요짧게는7일에서길게는30일짜리도있을겁니다호감도신뢰보상에성향물약있는npc도있구요모험의서숨겨진이야기도클리어하면성향1~3오릅니다기간으로따지면보통1~2달은걸릴거에요, alt+D(성향)증가검색해서필요한성향획득처찾아보세여, 답변감사합니다선생님들!"
로아 1달한 뉴비인데 마리샵 카드팩 사도 괜찮나요..?,무과금 유저인데 남바절12각이 아니라 거절당하는경우가 많아서 카드팩사서 빨리 찍는것도 괜찮을지 아니면 천천히 기다리면서 맞춰지기를 기다릴지 잘 모르겠네요 ㅠ 템렙은 지금 1467입니다!,"전설~희귀팩은살만합니다.전체카드팩은효율이너무구려서추천하기는좀그런데경험치수급이워낙부족하다보니꽝이면경험치라치고사는분들도꽤있습니다., 전희팩정도사시는건나쁘지않은데카드팩자체가효율이좋은편은아니라서...그리고세구빛끼는거보다필보or무기6셋으로최생늘리는게제일낫고,6셋조차안된다면트리시온끼시는거추천합니다, 무과금이시면팩보단다른거부터올리시는게좋습니다ㅣ, 무과금이면절대ㄴ"
뉴비 배럭 건슬 스카,피메건슬 유산스카가 내일 알고 버스받으면 1415가 찍히는데 페온이 넉넉치가 않아요건슬 스카 둘다 33331이나 3333 맞추려고 하는데 3333하고 33331하고 세팅비에서 크게는 2만골정도 차이가 나더라구요근데 성능은 크게 차이나지 않다는 글을 봤었어서 어떻게 하면 좋을까요건슬은 원예저타피1 or 원예타피스카는 원바돌아유1 or 원바돌유가성비면으로 볼 때 3333이 나을까요 33331이 나을까요?그리고 페온이 부족해서 하나만 세팅해준다고하면 어떤거를 세팅 해주는게 좋을지 궁금합니다.,"솔직히보기엔둘다직각효율1레벨이좋은직업들이라33331이보기좋긴해요그냥작성자님선택이죠뭐돈아끼시려면3333만하시구, 그렇게많이차이안날텐데요...?돌깎고각인9/9따로영웅각인서로박으면33331쌉니다품질적당히목/귀만70정도해주면문제없어요둘다66돌정도만되도1만골이하, 3333하기엔너무아까운직업들인데요ㅋㅋ"
스익 밀고있는 뉴비인데 능력치 물약은 인벤에 안들어오는데 버그인가요?,일반퀘도 같이 밀고있는데 분명 최종보상에 생명력? 증가 물약?이 있다고 했는데 인벤토리에 그거도 없고모험의 서에서 받은 친절 증가 물약도 인벤에 안들어와있는데버거인가요??아 친절물약은 자동적용이라 써있는 거 확인했는데 저런 물약은 다 그런 거에요??,"네자동적용됩니다~, 감사합니다!"
완전 뉴비 유산스카입니다 100장으로 맞추려고하는데 질문드려요,"안ㅇ녕하세요? 완전 뉴비 유산스카입니다.100만골드로 이것저것 맞추려고하는데요 줄임말없이 풀네임으로 설명좀부탁드릴게요일단 멸화,홍염보석 사려고하는데 7이상 쓰라고하는데 10짜리와 7짜리 가격차이가 나던데 그만큼의 효율도 차이가있나요?그리고 뭐뭐맞춰야하는지 설명좀부탁드립니다 줄임말없이 풀네임으로 설명부탁드려요 패키지나 매일사야할 캐쉬샵물건이 있다면 알려주세요","100장이면일단저는유산스카는보석을2개만쓰기때문에9멸화7홍염2개추천드리고요각인은333321또는33333을추천드리며나머지는강화에쓰시면될거같습니다, 강화비는상관없이세팅비만100장이면9멸&gt;10멸로바꾸시면됩니다, 뭔유산이보석을2개만써요;;당신같은사람들때문에인식이곱창나는거에요..싱크스킬2개는고렙보석으로끼고나머지자리에는드론스킬들이랑기동타격,이스케이프,에너지버스터로최소5렙홍염,여유가좀많이되시면7렙홍염박으시는거추천할게요.보석2개만끼고있으면게임하면서스트레스만잔뜩받으실거에요., 멸화보석은10레벨기준40퍼의증가데미지를보입니다7레벨은21퍼이니거의두배의효율입니다유산스카의경우에는보석을두개만넣어도변신후의모든스킬에증가데미지효과및쿨타임감소효과를받기때문에10레벨의효율이더높다고할수있습니다.뭐뭐맞추는게좋냐고하셨는데장비를말씀하시는건지각인을말씀하시는건지모르겠네요대댓달아주세요그리고꾸준히과금계획이있으시다면F4로스트아크샵에오른쪽에있는마리의비밀상점에서전설~희귀카드팩을하루에두번파는데꾸준히사주시면좋습니다, 멸화10에홍염도10으로가나요?각인이라는거는유산스카의겨우어떤어떤각인을쓰고각인은거래소에서구매해서착용하면되는건가요?, 홍염은10까진안쓰셔도되고7레벨정도쓰셔도괜찮다고생각합니다.각인은3레벨각인5개혹은3레벨각인4개2레벨1개1레벨1개이렇게사용하는경우도있습니다3레벨5개의경우원한,돌격대장,바리케이드,진화의유산,저주받은인형or아드레날린사용하시고3레벨4,2레벨1,1레벨1의경우는원한,돌격대장,바리케이드,저주받은인형3레벨,아드레날린2레벨진화의유산1레벨사용하시면됩니다.각인은각인서를읽어서각인효과를활성화시키고각인효과+어빌리티스톤+악세사리에붙은각인효과들로활성화시키시면됩니다, 각인은유물기준으로는33333이나333321하시면되요33333:원바돌저유or원바돌아유333321:원바돌저아(2)유(1)원바돌안아(2)유(1)저받이랑안상이랑갈리긴하는데,개인적으로안상은가성비세팅이라는인식도인식이고유지하는데은근스트레스많이받으실거에요.결론만말씀드리면원바돌저아(2)유(1)추천드립니다.돌은원or저+돌or바중에77돌이상으로깎으시면되고저받이나원한둘중하나는전설각인서까지읽으시는거추천드릴게요, 친절한설명감사드립니다^^, 각인의경우https://loa.icepeng.com/imprinting에서설명서읽어보시고검색해서세팅하시는게골드도아끼고각인계산할필요도없고좋으실거에요.그리고특화는최대한높게가지고가시는걸추천드릴게요."
뉴비 점핑 창술 vs 소서 추천 좀 해주세여!!,부탁드려요!!,"창술추천드려요소서는체방도낮고점화를가신다며누이동기도별로좋지못해요, 게임이해도가있으신분이면소서인데뉴비면저도창술추천체방좋고이동기넘치고특화케지만특신이라공이속도나쁘지않음절정찰술기준입니다절제는안추천, 창술ㅊㅊ"
뉴비 선박 관련 질문입니다.,"항해협동 같은 바다 컨텐츠는 아직 안해봤습니다.현재 에스토크, 풍백, 바크스톰, 프뉴마 이렇게 선박이 4개 있는데업그레이드를 어떤 선박을 해야하나요?아스트레이나 에이번의 상처 선박이 제일 좋은거면 저거 전부 구한다음에 업그레이드 하면 되나요?업그레이드 하는데 재료가 많이 들길래어떤걸 업그레이드 해야하나 궁금합니다.","칼스토크, 에스토크7레벨쓰시다가아스트레이쓰시면됩니다"
뉴비 본캐 바꾸고 싶어요 ㅠㅠ,이번에 poe에서 넘어온 피난민입니다 이것저것 알아보다가 유산스카가 가성비캐라고해서 이걸로 스익 다 밀었는데 풍요룬없으니깐 변신 너무 오래걸리고 개인적으로 좀 재미없네요 ㅠㅠ 점핑권 + 하익으로 본캐 바꾸고 싶은데 근딜중에서 좀 튼튼하고 빽안노리고(초보라 어려울꺼같음 ㅠ ) 딜 잘나오는 직업 어떤게 있을까요? 추천좀 부탁드려요 ,"근딜중에포지션자유롭고튼튼하면서딜좋다고하면...창술사?, 뉴비에게개인적으로근딜추천은1.배마를추천드립니다.질증,초심,오의저렴한전각비용,저받안써도되는우수함,우수한체방,빠른공이속,자유로운셋팅, 근접사격데헌하쉴??"
메이플 월드에서 헤엄쳐온 뉴비 직업 추천해주세요,안녕하세요구조선 있을 때 이악물고 메이플 월드서 버티다가이번에 아크라시아로 헤엄쳐오기로 정했습니다보니까 로아는 여캐들이 이쁘더라구요그래서 제 똘똘이 전용 정실부인이 될 첫 여성분을골라주셨으면 합니다감사합니다조건1.누를 게 많이 없는거2.템값?이 안비싼거,"창술사데모닉, 감사합니다"
뉴비질문 필드보스 모험의서 한번만 가능한가요?, 프록시마 잡고나서 한시간뒤에  천둥날개도 잡았는데 모험의 서 등록이 안됐어여아이템레벨 1370따리인데 아템레벨 넘 차이나서 그런건가요..?ㅜㅜ,"모험의서는일일제한같은거없습니다.1370이시면천날그냥아예딜을1도못띄워서안된듯.레벨올리기전에굳이모험의서를등록시키고싶으시면고렙파티낑겨서가는방법정도밖에없을듯하네요., 헉ㅜㅜ몰랐어요한입낼름하면되는줄흑더올리고해야지.."
